match_id,match_start_date,match_date,match_day,city,venue,bowler,age_years,spell_no,deliveries_match,overs_match,inferred_fielding_time_minutes,avg_temp_c,avg_humidity_pct,precip_mm,esi_norm,days_since_prev,deliveries_7d,deliveries_28d,acwr_7d_over_28d,acwr_std,srpe_sim_au,fatigue_ewma,ck_delta_24h_upl,cmj_drop_pct,hrv_sim_ms,fatigue_score_0_100,injury_risk_score,injury_risk_label,fatigue_score_0_100_v3,injury_risk_prob_v3,injury_risk_label_v3
20210314_GalleInternational_Galle_AMFernando,2021-03-14,2021-03-18,5,Galle,Galle International Stadium,AM Fernando,31.21,1,13,2,105,27.387500570113342,76.88355609461809,0.0,0.3844,1.0,85.0,164.0,0.5183,2.0732,141.1,203.28312579116127,38.0,0.0601,79.6,27.8,5.88,High,29.256770339520124,0.5268945206058824,Medium
20210314_GalleInternational_Galle_AMFernando,2021-03-14,2021-03-18,5,Galle,Galle International Stadium,AM Fernando,31.21,2,9,1,35,28.1808042880711,75.98270113186261,0.585594739641698,0.4169,0.0,94.0,173.0,0.5434,2.1734,77.8,171.912344343371,37.5,0.0536,77.6,23.0,5.92,High,28.788459131931802,0.561225563967808,Medium
20210408_SinhaleseSportsClu_Colombo_AMFernando,2021-04-08,2021-04-08,1,Colombo,"Sinhalese Sports Club, Colombo",AM Fernando,31.27,1,14,2,10,27.560264182084943,83.54813246158339,0.0,0.4464,21.0,14.0,108.0,0.1296,0.5185,84.9,150.15925825752825,35.9,0.0444,74.7,18.7,1.45,Low,2.9909864241247934,0.0739428271540787,Low
20210408_SinhaleseSportsClu_Colombo_AMFernando,2021-04-08,2021-04-08,1,Colombo,"Sinhalese Sports Club, Colombo",AM Fernando,31.27,2,9,1,161,27.81622557395174,79.20864809287444,0.8189176797711519,0.4245,0.0,23.0,117.0,0.1966,0.7863,172.5,155.7444436931462,44.0,0.0458,74.8,21.8,1.92,Low,13.926113900901296,0.1614326231720907,Low
20210408_SinhaleseSportsClu_Colombo_AMFernando,2021-04-08,2021-04-09,2,Colombo,"Sinhalese Sports Club, Colombo",AM Fernando,31.27,1,10,1,258,27.3907190000208,73.35860371713684,0.0344766403466773,0.3564,1.0,33.0,127.0,0.2598,1.0394,267.3,183.63333276985963,36.7,0.0683,77.9,26.3,1.86,Low,21.76843613251631,0.22625691136233592,Low
20210419_SinhaleseSportsClu_Colombo_AMFernando,2021-04-19,2021-04-19,1,Colombo,"Sinhalese Sports Club, Colombo",AM Fernando,31.3,1,16,2,126,27.70304650440398,69.47426742173833,0.0,0.3409,10.0,32.0,65.0,0.4923,1.9692,168.6,177.05624968304605,60.6,0.0601,77.4,31.0,3.34,Medium,14.451910377528744,0.21420614324354806,Low
20210419_SinhaleseSportsClu_Colombo_AMFernando,2021-04-19,2021-04-19,1,Colombo,"Sinhalese Sports Club, Colombo",AM Fernando,31.3,2,21,3,28,28.425477644466508,80.95352301627176,1.5838113975690071,0.4689,0.0,53.0,86.0,0.6163,2.4651,94.4,156.39218726228452,55.3,0.0884,75.2,31.3,5.97,High,29.494829652268674,0.5683955994406763,Medium
20210419_SinhaleseSportsClu_Colombo_AMFernando,2021-04-19,2021-04-19,1,Colombo,"Sinhalese Sports Club, Colombo",AM Fernando,31.3,3,16,2,126,27.70304650440398,69.47426742173833,0.0,0.3409,0.0,16.0,49.0,0.3265,1.3061,168.6,179.87499957739473,43.8,0.0449,73.7,24.4,2.64,Medium,18.800224590905888,0.1606760562571637,Low
20210419_SinhaleseSportsClu_Colombo_AMFernando,2021-04-19,2021-04-21,3,Colombo,"Sinhalese Sports Club, Colombo",AM Fernando,31.3,1,17,2,150,29.30188266816617,78.57023022753263,0.0,0.4937,2.0,70.0,103.0,0.6796,2.7184,204.0,168.2941404467134,72.6,0.0843,73.3,36.8,4.99,High,35.989587447590544,0.6856436134237756,High
20210419_SinhaleseSportsClu_Colombo_AMFernando,2021-04-19,2021-04-22,4,Colombo,"Sinhalese Sports Club, Colombo",AM Fernando,31.3,1,18,3,132,28.31657862994061,79.82665815182634,0.2380611419056553,0.4544,1.0,88.0,121.0,0.7273,2.9091,203.0,176.97060533503503,59.7,0.0841,72.8,34.2,5.95,High,25.715412288365748,0.7539015667712089,High
20210419_SinhaleseSportsClu_Colombo_AMFernando,2021-04-19,2021-04-22,4,Colombo,"Sinhalese Sports Club, Colombo",AM Fernando,31.3,2,20,3,420,27.51378244724498,81.89186347705315,1.840677927004229,0.4308,0.0,108.0,141.0,0.766,3.0638,540.0,267.72795400127626,89.3,0.1115,68.2,56.9,5.93,High,37.687290710037416,0.7732763565860623,High
20210419_SinhaleseSportsClu_Colombo_AMFernando,2021-04-19,2021-04-23,5,Colombo,"Sinhalese Sports Club, Colombo",AM Fernando,31.31,1,7,1,315,28.409057240132224,77.72598454239498,4.715861459551983,0.4423,1.0,129.0,162.0,0.7963,3.1852,313.2,284.05947412571794,46.0,0.0731,76.5,41.2,5.44,High,30.024873859223028,0.8064363404996531,High
20210419_SinhaleseSportsClu_Colombo_AMFernando,2021-04-19,2021-04-23,5,Colombo,"Sinhalese Sports Club, Colombo",AM Fernando,31.31,2,14,2,244,28.43231322586847,80.85294912444321,0.1435631745572687,0.4684,0.0,122.0,155.0,0.7871,3.1484,294.2,274.3459655009572,53.0,0.09,72.6,44.5,5.97,High,39.3621832857135,0.9188435536843702,High
20210419_SinhaleseSportsClu_Colombo_AMFernando,2021-04-19,2021-04-23,5,Colombo,"Sinhalese Sports Club, Colombo",AM Fernando,31.31,3,7,1,315,28.409057240132224,77.72598454239498,4.715861459551983,0.4423,0.0,136.0,169.0,0.8047,3.2189,313.2,291.34460559428845,61.7,0.0833,75.9,47.9,5.44,High,40.951656651347406,0.8948780670468074,High
20210430_GalleInternational_Galle_AMFernando,2021-04-30,2021-04-30,1,Galle,Galle International Stadium,AM Fernando,31.33,1,17,2,195,26.28192713768844,85.29794238581161,2.317293711949839,0.3965,7.0,17.0,186.0,0.0914,0.3656,249.0,280.75845419571635,64.6,0.0841,74.1,47.6,1.4,Low,14.723580634173882,0.14416457573405478,Low
20210430_GalleInternational_Galle_AMFernando,2021-04-30,2021-05-01,2,Galle,Galle International Stadium,AM Fernando,31.33,1,32,5,139,27.94727611829549,86.23074838176507,4.2163974231481,0.4872,1.0,68.0,237.0,0.2869,1.1477,298.9,249.7516304850905,67.9,0.1235,69.0,50.7,1.99,Low,25.092344889517832,0.3368646811259243,Medium
20210430_GalleInternational_Galle_AMFernando,2021-04-30,2021-05-01,2,Galle,Galle International Stadium,AM Fernando,31.33,2,19,3,19,27.873698575497077,80.99168445087619,0.4832809459062657,0.4416,0.0,36.0,205.0,0.1756,0.7024,91.2,233.36884064678728,51.7,0.0893,77.6,39.3,1.94,Low,27.08735439160191,0.20419116056886827,Low
20210430_GalleInternational_Galle_AMFernando,2021-04-30,2021-05-02,3,Galle,Galle International Stadium,AM Fernando,31.33,1,13,2,23,28.49226270548087,75.58780308725983,0.2445040676888686,0.4293,1.0,81.0,250.0,0.324,1.296,83.2,208.11372286381783,43.7,0.0543,73.0,29.0,2.73,Medium,19.071857531316496,0.18771439986350355,Low
20210430_GalleInternational_Galle_AMFernando,2021-04-30,2021-05-04,5,Galle,Galle International Stadium,AM Fernando,31.34,1,16,2,301,26.08457763739461,85.63125910975364,0.0,0.3893,2.0,97.0,266.0,0.3647,1.4586,359.3,245.9102921478634,53.2,0.1014,71.0,43.0,1.69,Low,36.033658993825696,0.4755250682093417,Medium
20210430_GalleInternational_Galle_AMFernando,2021-04-30,2021-05-04,5,Galle,Galle International Stadium,AM Fernando,31.34,2,20,3,420,27.05203670681341,90.37075557552338,42.49988124006179,0.4756,0.0,117.0,286.0,0.4091,1.6364,545.5,320.80771911089755,81.1,0.1233,66.4,62.6,3.98,Medium,37.691341878412395,0.6117873134815537,High
20210512_SinhaleseSportsClu_Colombo_AMFernando,2021-05-12,2021-05-12,1,Colombo,"Sinhalese Sports Club, Colombo",AM Fernando,31.36,1,21,3,315,27.186155268552863,80.86180089022577,3.660875258188821,0.4062,8.0,21.0,274.0,0.0766,0.3066,422.4,346.2057893331732,84.0,0.1118,67.9,64.6,1.41,Low,3.8979939900457135,0.11791442336619962,Low
20210512_SinhaleseSportsClu_Colombo_AMFernando,2021-05-12,2021-05-13,2,Colombo,"Sinhalese Sports Club, Colombo",AM Fernando,31.36,1,21,3,80,28.7532778703739,77.42003695262464,0.0,0.457,1.0,42.0,295.0,0.1424,0.5695,150.6,297.30434199987985,57.6,0.0577,73.0,43.7,1.96,Low,17.89159196098924,0.1622957256946071,Low
20210512_SinhaleseSportsClu_Colombo_AMFernando,2021-05-12,2021-05-13,2,Colombo,"Sinhalese Sports Club, Colombo",AM Fernando,31.36,2,31,5,420,27.373431107196485,77.17585083555849,0.991480664841536,0.3861,0.0,73.0,326.0,0.2239,0.8957,659.1,387.75325649990987,91.3,0.1266,71.0,73.6,1.89,Low,20.88433483919689,0.23446121955532073,Low
20210512_SinhaleseSportsClu_Colombo_AMFernando,2021-05-12,2021-05-14,3,Colombo,"Sinhalese Sports Club, Colombo",AM Fernando,31.36,1,13,2,214,27.075529020223875,69.8444262545543,0.0,0.3125,1.0,86.0,339.0,0.2537,1.0147,249.2,353.1149423749324,43.4,0.0618,73.1,46.8,1.81,Low,14.08838705353008,0.1850280134822212,Low
20210512_SinhaleseSportsClu_Colombo_AMFernando,2021-05-12,2021-05-14,3,Colombo,"Sinhalese Sports Club, Colombo",AM Fernando,31.36,2,9,1,103,27.48844234433652,82.53914695865357,0.5618553944289304,0.4347,0.0,95.0,348.0,0.273,1.092,116.3,293.91120678119927,37.6,0.0429,80.8,35.6,1.93,Low,21.91243198520801,0.2652851454642029,Low
20210626_SinhaleseSportsClu_Colombo_AMFernando,2021-06-26,2021-06-26,1,Colombo,"Sinhalese Sports Club, Colombo",AM Fernando,31.48,1,21,3,47,28.13723549444722,75.77517813447751,1.5852163522266525,0.4131,43.0,38.0,38.0,1.0,4.0,110.7,286.82505381442456,52.5,0.0742,67.4,43.5,4.91,High,26.98633807445288,0.8035651471475117,High
20210626_SinhaleseSportsClu_Colombo_AMFernando,2021-06-26,2021-06-26,1,Colombo,"Sinhalese Sports Club, Colombo",AM Fernando,31.48,2,17,2,420,28.353765588976422,77.54069931611188,1.4375845707575494,0.438,0.0,17.0,17.0,1.0,4.0,500.4,345.5334050858994,80.0,0.1272,66.9,65.7,5.94,High,39.68745351767363,0.8807444985685517,High
20210626_SinhaleseSportsClu_Colombo_AMFernando,2021-06-26,2021-06-27,2,Colombo,"Sinhalese Sports Club, Colombo",AM Fernando,31.49,1,9,1,22,28.4001750524756,80.65081318766845,0.6663796246911463,0.4652,1.0,47.0,47.0,1.0,4.0,78.7,234.79379036081843,38.5,0.0643,77.1,32.2,5.97,High,24.650270073569743,0.8237419655164833,High
20210626_SinhaleseSportsClu_Colombo_AMFernando,2021-06-26,2021-06-28,3,Colombo,"Sinhalese Sports Club, Colombo",AM Fernando,31.49,1,9,1,171,28.463808462458285,77.20754345989111,0.3196884918754898,0.4409,1.0,56.0,56.0,1.0,4.0,183.0,221.84534277061385,32.2,0.0864,76.7,32.2,5.94,High,36.47510038274958,0.8882199435229093,High
20210626_SinhaleseSportsClu_Colombo_AMFernando,2021-06-26,2021-06-28,3,Colombo,"Sinhalese Sports Club, Colombo",AM Fernando,31.49,2,20,3,120,29.41538154902354,73.24590180638182,0.0,0.4567,0.0,76.0,76.0,1.0,4.0,195.0,215.1340070779604,71.7,0.0697,73.2,39.8,5.96,High,44.83362167815606,0.9172548209978227,High
20210626_SinhaleseSportsClu_Colombo_AMFernando,2021-06-26,2021-06-28,3,Colombo,"Sinhalese Sports Club, Colombo",AM Fernando,31.49,3,22,3,159,27.25702109736652,76.81463034450866,0.3423725496139511,0.3774,0.0,98.0,98.0,1.0,4.0,242.6,222.00050530847028,76.6,0.117,72.7,49.0,5.88,High,41.38430839804581,0.9094455031129979,High
20210626_SinhaleseSportsClu_Colombo_AMFernando,2021-06-26,2021-06-28,3,Colombo,"Sinhalese Sports Club, Colombo",AM Fernando,31.49,4,20,3,120,29.41538154902354,73.24590180638182,0.0,0.4567,0.0,118.0,118.0,1.0,4.0,195.0,215.2503789813527,63.3,0.0843,70.0,39.7,5.96,High,39.697525395846256,0.930581120211517,High
20210626_SinhaleseSportsClu_Colombo_AMFernando,2021-06-26,2021-06-30,5,Colombo,"Sinhalese Sports Club, Colombo",AM Fernando,31.49,1,8,1,175,28.58706331948276,76.14093533043118,0.0,0.4385,2.0,126.0,126.0,1.0,4.0,183.7,207.36278423601453,47.6,0.0709,73.9,32.5,4.44,Medium,33.55437938502048,0.9114752603250739,High
20210626_SinhaleseSportsClu_Colombo_AMFernando,2021-06-26,2021-06-30,5,Colombo,"Sinhalese Sports Club, Colombo",AM Fernando,31.49,2,10,1,0,28.740952327531915,74.05016967462342,1.284802795584674,0.4294,0.0,136.0,136.0,1.0,4.0,79.4,175.3720881770109,33.6,0.0739,79.3,25.4,5.43,High,38.55833789738931,0.8881888219004319,High
20210704_SinhaleseSportsClu_Colombo_AMFernando,2021-07-04,2021-07-04,1,Colombo,"Sinhalese Sports Club, Colombo",AM Fernando,31.5,1,41,6,217,26.91418745298248,80.33524815714864,6.150710592183914,0.3884,4.0,145.0,192.0,0.7552,3.0208,462.9,270.88429959956864,76.4,0.1435,65.6,58.5,4.39,Medium,33.44815701929217,0.7213832692711388,High
20210704_SinhaleseSportsClu_Colombo_AMFernando,2021-07-04,2021-07-04,1,Colombo,"Sinhalese Sports Club, Colombo",AM Fernando,31.5,2,15,2,242,29.249062377038957,84.88230996945452,1.8501808109564275,0.5415,0.0,104.0,151.0,0.6887,2.755,301.4,206.87906613275817,63.0,0.104,67.4,41.5,6.04,High,39.3456353915217,0.7282416571280128,High
20210704_SinhaleseSportsClu_Colombo_AMFernando,2021-07-04,2021-07-05,2,Colombo,"Sinhalese Sports Club, Colombo",AM Fernando,31.51,1,13,2,232,27.41664538362767,79.78445888911094,1.8095117243271848,0.4091,1.0,115.0,233.0,0.4936,1.9742,273.4,241.44116852475736,47.4,0.0719,70.5,36.5,3.91,Medium,19.315261413856256,0.3721977232738167,Medium
20210704_SinhaleseSportsClu_Colombo_AMFernando,2021-07-04,2021-07-05,2,Colombo,"Sinhalese Sports Club, Colombo",AM Fernando,31.51,2,34,5,186,29.135180247590963,81.92525471574278,1.4416205781946942,0.5122,0.0,149.0,267.0,0.5581,2.2322,373.8,274.530876393568,72.8,0.1281,63.8,55.6,5.51,High,28.59128681071079,0.5387576204481368,Medium
20210704_SinhaleseSportsClu_Colombo_AMFernando,2021-07-04,2021-07-05,2,Colombo,"Sinhalese Sports Club, Colombo",AM Fernando,31.51,3,28,4,22,27.801468401756463,80.65817707528073,1.1169430461749377,0.4353,0.0,102.0,220.0,0.4636,1.8545,110.5,230.78822469967648,72.2,0.1041,73.1,46.9,3.94,Medium,29.61901132160188,0.5703912246342387,Medium
20210704_SinhaleseSportsClu_Colombo_AMFernando,2021-07-04,2021-07-06,3,Colombo,"Sinhalese Sports Club, Colombo",AM Fernando,31.51,1,20,3,159,28.040833782513417,79.1813375995378,2.7498990791879008,0.4355,1.0,169.0,287.0,0.5889,2.3554,239.1,265.673157295176,85.4,0.1161,72.2,56.3,5.44,High,27.070243538627125,0.6233328474247775,High
20210704_SinhaleseSportsClu_Colombo_AMFernando,2021-07-04,2021-07-06,3,Colombo,"Sinhalese Sports Club, Colombo",AM Fernando,31.51,2,6,1,125,26.42136601193112,80.12355867398675,2.4775666655678927,0.3621,0.0,175.0,293.0,0.5973,2.3891,128.8,231.454867971382,31.7,0.0466,80.3,27.3,5.36,High,33.64580124567902,0.7006730759889549,High
20210704_SinhaleseSportsClu_Colombo_AMFernando,2021-07-04,2021-07-06,3,Colombo,"Sinhalese Sports Club, Colombo",AM Fernando,31.51,3,6,1,125,26.42136601193112,80.12355867398675,2.4775666655678927,0.3621,0.0,181.0,299.0,0.6054,2.4214,128.8,205.7911509785365,40.4,0.0573,76.9,28.3,5.36,High,34.2142108880106,0.691755049759654,High
20210704_SinhaleseSportsClu_Colombo_AMFernando,2021-07-04,2021-07-06,3,Colombo,"Sinhalese Sports Club, Colombo",AM Fernando,31.51,4,20,3,159,28.040833782513417,79.1813375995378,2.7498990791879008,0.4355,0.0,201.0,319.0,0.6301,2.5204,239.1,214.1183632339024,57.2,0.1027,72.1,40.6,5.94,High,30.472614629490067,0.6372294374420133,High
20210704_SinhaleseSportsClu_Colombo_AMFernando,2021-07-04,2021-07-06,3,Colombo,"Sinhalese Sports Club, Colombo",AM Fernando,31.51,5,20,3,159,28.040833782513417,79.1813375995378,2.7498990791879008,0.4355,0.0,221.0,339.0,0.6519,2.6077,239.1,220.3637724254268,63.2,0.1214,73.5,45.7,5.94,High,40.02366446330753,0.7446725415391535,High
20210704_SinhaleseSportsClu_Colombo_AMFernando,2021-07-04,2021-07-07,4,Colombo,"Sinhalese Sports Club, Colombo",AM Fernando,31.51,1,18,3,328,26.056151927373048,77.22765821321927,0.3018511151919978,0.3206,1.0,233.0,369.0,0.6314,2.5257,411.2,242.0921219893025,65.9,0.107,69.4,46.9,5.82,High,40.89648501264054,0.7820156809016554,High
20210704_SinhaleseSportsClu_Colombo_AMFernando,2021-07-04,2021-07-07,4,Colombo,"Sinhalese Sports Club, Colombo",AM Fernando,31.51,2,26,4,109,27.785900707181757,84.55281576462122,2.1164441100248457,0.4657,0.0,259.0,395.0,0.6557,2.6228,218.1,236.0940914919769,70.6,0.1053,71.3,47.2,7.77,High,44.89331578330507,0.7983687435680722,High
20210704_SinhaleseSportsClu_Colombo_AMFernando,2021-07-04,2021-07-07,4,Colombo,"Sinhalese Sports Club, Colombo",AM Fernando,31.51,3,12,2,0,27.59068951005682,80.22048676705644,4.677791066255889,0.4213,0.0,215.0,351.0,0.6125,2.4501,81.8,185.7228293190701,45.1,0.0659,75.1,28.6,5.92,High,35.225901802585035,0.606379558623557,High
20210704_SinhaleseSportsClu_Colombo_AMFernando,2021-07-04,2021-07-08,5,Colombo,"Sinhalese Sports Club, Colombo",AM Fernando,31.52,1,6,1,290,26.862446353430325,83.30396036232018,5.625375456835583,0.4096,1.0,265.0,401.0,0.6608,2.6434,282.5,247.6955686189827,37.1,0.0746,74.3,34.8,7.71,High,33.41211964935965,0.7504674314209325,High
